initial_claims,continued_claims,week_ending,Appalachia
28,218,2020-01-04,No
51,226,2020-01-11,No
29,220,2020-01-18,No
114,198,2020-02-01,No
19,277,2020-02-08,No
10,280,2020-02-15,No
12,206,2020-02-22,No
9,201,2020-02-29,No
12,181,2020-03-07,No
23,188,2020-03-14,No
404,178,2020-03-21,No
835,502,2020-03-28,No
950,1222,2020-04-04,No
855,2028,2020-04-11,No
691,2677,2020-04-18,No
449,3231,2020-04-25,No
206,3352,2020-05-02,No
133,3388,2020-05-09,No
121,3219,2020-05-16,No
144,2401,2020-05-23,No
98,1736,2020-05-30,No
146,1673,2020-06-06,No
122,1561,2020-06-13,No
83,1245,2020-06-20,No
83,1125,2020-06-27,No
79,1047,2020-07-04,No
126,1045,2020-07-11,No
86,1005,2020-07-18,No
56,1024,2020-07-25,No
62,932,2020-08-01,No
45,876,2020-08-08,No
59,844,2020-08-15,No
59,820,2020-08-22,No
32,808,2020-08-29,No
24,765,2020-09-05,No
37,715,2020-09-12,No
32,706,2020-09-19,No
31,668,2020-09-26,No
42,501,2020-10-03,No
55,489,2020-10-10,No
47,423,2020-10-17,No
36,385,2020-10-24,No
137,351,2020-10-31,No
63,338,2020-11-07,No
137,351,2020-11-14,No
63,323,2020-11-21,No
46,322,2020-11-28,No
88,331,2020-12-05,No
76,344,2020-12-12,No
93,308,2020-12-19,No
59,345,2020-12-26,No
82,418,2021-01-02,No
88,466,2021-01-09,No
90,438,2021-01-16,No
155,463,2021-01-23,No
109,405,2021-01-30,No
324,381,2021-02-06,No
255,401,2021-02-13,No
215,430,2021-02-20,No
275,445,2021-02-27,No
184,517,2021-03-06,No
131,447,2021-03-13,No
98,383,2021-03-20,No
205,378,2021-03-27,No
151,443,2021-04-03,No
71,396,2021-04-10,No
46,283,2021-04-17,No
44,266,2021-04-24,No
38,230,2021-05-01,No
91,232,2021-05-08,No
151,280,2021-05-15,No
56,368,2021-05-22,No
22,280,2021-05-29,No
26,203,2021-06-05,No
40,219,2021-06-12,No
